country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Ghana,1991,11.209,6603185267.79643,418.25412135,57.356,54.673,56.012,45.18370741,52.1789744238,2.6373181662,50.2321204072,15787496.0,9919284.0,62.83
Guinea,1991,19.077,4396178694.1535,656.4237311952,48.198,46.853,47.546,43.3769928487,52.4510481337,4.1719590176,50.7843393436,6697166.0,4801064.0,71.688
Gambia,1991,15.541,690311080.515018,627.5789193188,54.08,50.281,52.127,45.7923431692,50.2696464141,3.9380104168,50.5586117301,1099959.0,666465.0,60.59
Guinea-Bissau,1991,20.167,668470890.785147,672.0738788497,49.44,45.571,47.465,45.5330800757,49.4169998276,5.0499200967,51.5188927842,994639.0,672475.0,67.61
Equatorial Guinea,1991,16.072,110906028.536862,225.3193785198,52.516,49.438,50.969,41.9613280714,54.2403510643,3.7983208643,51.0638600455,492217.0,316259.0,64.252
Greece,1991,9.3,103680863712.844,10046.6663875475,79.8,74.6,77.1365853659,18.9453278875,66.9954885412,14.0591835713,50.8515866076,10319927.0,2927247.0,28.365
Grenada,1991,7.233,300757888.888889,2983.9164315864,73.501,68.321,70.974,32.8430545772,59.9570406675,7.1999047553,50.1731271021,100793.0,67024.0,66.497
Greenland,1991,8.3,1016500069.25708,18315.3165631906,68.53,61.7,65.0317073171,26.3188593067,69.7615778753,3.919562818,46.0732232592,55500.0,11082.0,19.967
Guatemala,1991,8.435,9406135143.411648,1014.4027968268,66.052,59.676,62.725,45.327383679,51.2565564926,3.4160598284,50.0528223848,9272584.0,5348148.0,57.677
Guam,1991,4.57,5169142857.142858,31427.982330473384,76.088,69.458,72.497,30.3348963484,65.6494664129,4.0156372387,46.9533719892,141073.0,12611.0,8.939
Guyana,1991,8.266,348533094.812165,466.0399389889,65.65,59.867,62.622,36.6984640194,59.3448515165,3.9566844641,50.5281061588,747861.0,527294.0,70.507
"Hong Kong, SAR China",1991,5.0,88959997899.92929,15465.9245305858,80.69,75.19,77.8729268293,20.7837146999,70.342615102,8.8736701981,49.5025491756,5752000.0,9663.0,0.168
Honduras,1991,6.736,4648668478.56753,907.271114551,67.99,63.68,65.752,45.9109288589,50.9552788247,3.1337923163,49.6858966953,5123792.0,3025445.0,59.047
Heavily indebted poor countries,1991,16.6816170108,179597458927.389,483.5536523814,51.0345640447,47.438311664,49.1984592708,45.9722016113,51.024175188,3.0036232007,50.4592583553,371411648.0,275432194.0,74.1582010815
Croatia,1991,11.7,18760386774.797295,4000.9167742863,75.95,68.6,72.1853658537,19.5069093089,68.5770950044,11.9159956868,51.9825158021,4689022.0,2280881.0,48.643
Haiti,1991,13.654,3473562627.7942295,496.5459874339,54.792,51.966,53.391,41.872993026,54.3403745048,3.7866324692,50.5177365287,6995450.0,4921929.0,70.359
Hungary,1991,14.0,34753569692.915,3350.2583234923,73.91,65.06,69.3770731707,19.6935858478,66.713346353,13.5930677992,52.0270756608,10373400.0,3556728.0,34.287
IBRD only,1991,8.1674165211,3535988975852.89,1006.4320429489,67.8692598551,63.2699512532,65.487500322,33.3996686442,61.4489559769,5.1513753789,49.5089641265,3513390696.0,2139647606.0,60.8997914709
